Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2819    12.0320     2.3015    10.1300    85.2723      1.0000
   2     0.1000     2.1917    15.9580     2.0101    20.3500    84.8755      1.0000
   3     0.1000     1.9924    21.3900     1.9100    23.9200    84.8279      1.0000
   4     0.1000     1.8291    28.0720     1.6696    34.4800    84.7572      1.0000
   5     0.1000     1.7011    33.8100     1.6302    36.1000    84.9065      1.0000
   6     0.1000     1.5884    39.0540     1.8317    30.3900    84.9404      1.0000
   7     0.1000     1.4838    44.9320     1.3230    51.4000    84.8732      1.0000
   8     0.1000     1.3342    51.8560     1.1205    59.3400    84.7956      1.0000
   9     0.1000     1.1924    57.8180     1.0169    63.7000    84.8885      1.0000
  10     0.1000     1.0813    61.7380     1.0078    64.3900    84.7412      1.0000
  11     0.1000     0.9818    65.6620     1.0056    65.8100    84.6854      1.0000
  12     0.1000     0.8863    69.1920     0.7852    73.0200    84.6832      1.0000
  13     0.1000     0.8210    71.7420     0.8657    70.4200    84.7391      1.0000
  14     0.1000     0.7673    73.8180     0.7179    75.4600    84.8371      1.0000
  15     0.1000     0.7103    75.7760     0.7452    74.1200    84.8274      1.0000
